filename,spectral_centroid,spectral_rolloff,mfcc,chroma_stft
0,8000000000000000,8000000000000000,d0d0d0d8d8d96d6d,8ed2f2ace441cbc9
1,8000000000000000,8000000000000000,d0d2d0d0d2f2333f,c0b38f4f4f40e5d4
2,8000000000000000,8000000000000000,d0d0d0d2d2b73727,e5c36ebc1929643a
3,8000000000000000,8000000000000000,d2d0d1d1c9c9696d,809186676e69fa9b
4,8000000000000000,8000000000000000,d0d0d6c2c1c9db3b,88a1767c4e5bc393
5,8000000000000000,8000000000000000,d0d2d0c2c3e3333f,88a3e66e6c5a9a93
6,8000000000000000,8000000000000000,d0d0d0d0d3933b3f,8897f47c484b4bcb
7,8000000000000000,8000000000000000,d4d4f0d090bc3c3f,8c15e37bd498c16b
8,8000000000000000,8000000000000000,d0d2d6d0d0d3b333,d8a3634f4f1394a5
9,8000000000000000,8000000000000000,c4c8c9ccc4cd6737,a8e4761fdce461b0
10,8000000000000000,8000000000000000,c0c0cfcfcd8f0f30,8287662cd8bbf1e1
11,8000000000000000,8000000000000000,d0d4959f8f8e0e26,8887744c68bbb1b7
12,8000000000000000,8000000000000000,d0d08e8f8f0e2d2f,8b952c6c0edbe90d
13,8000000000000000,8000000000000000,d0d0d0d1f1312f6f,9027c97b0eb1bc33
14,8000000000000000,8000000000000000,c2c0c9c9c9c74f67,e0d2d42e2d4da9cb
15,8000000000000000,8000000000000000,d0d0d2989b1f1f1b,808666785b5fc55d
16,8000000000000000,8000000000000000,d0d0c6c6e6e66666,af16b2b507b034b3
17,8000000000000000,8000000000000000,c2c2c2c2c3e3673f,a08373644e4d1f9f
18,8000000000000000,8000000000000000,d0d4d4c6c6c6666e,f2eee31b6302a685
19,8000000000000000,8000000000000000,d0d2d3f3f2b23230,9317c46e4bdadb04
20,d400000000000000,d400000000000000,d0d096969f1b1f0b,d593327a1bc8e12d
21,8000000000000000,8000000000000000,d3d0d09899193b3f,90f166684eb297b5
22,8000000000000000,8000000000000000,d2d69686c64e6969,8c97a27e2c483d79
23,8000000000000000,8000000000000000,d4d4d4d0d0da4b6b,ccb0a26c4d595b5b
24,8000000000000000,8000000000000000,d0d6868fce0f0d69,9a0f6006d89fd1af
25,c000000000000000,c000000000000000,d0d2d2d1d3032f2f,a09ee27ece484b5a
26,c000000000000000,c000000000000000,d0d292d3c3cb6b68,d0f726485beac187
27,8000000000000000,8000000000000000,c2c2cacbc38bcd65,8c463519e5e3c97c
28,8000000000000000,8000000000000000,c2d69387c7c73262,8897b07e62ed29a9
